Fish,Treatment,SMR,MMR,AS,Ucrit
P10,P,110.2,535.8,4.86,3.79
P12,P,140.11,471.45,3.36,3.66
P27,P,135.84,573.08,4.22,2.47
P42,P,140.44,379.69,2.7,3.65
P15,P,120.54,561.93,4.66,3.52
P23,P,108.02,375.57,3.48,3.39
P26,P,119.23,534.75,4.49,3.74
P37,P,152.73,494.95,3.24,3.37
P72,P,100.86,429.73,4.26,3.36
P75,P,134.09,434.6,3.24,3.68
P11,UN,127.75,541.37,4.24,3.58
P21,UN,103.62,524.13,5.06,4.47
P22,UN,113.15,457.1,4.04,3.32
P33,UN,57.43,550.65,9.59,4.82
P31,UN,111.24,734.49,6.6,4.56
P24,UN,57.28,358.28,6.26,3.52
P57,UN,82.98,419.23,5.05,3.96
P77,UN,115.78,501.3,4.33,3.44
P86,REM,64.92,484.99,7.47,4.39
P85,REM,96.28,448.88,4.66,3.9
P88,REM,94.94,415.38,4.38,3.46
P90,REM,98.37,588.5,5.98,4.01
P98,REM,112.96,604.62,5.35,4.5
P105,REM,106.74,572.25,5.36,3.99
P107,REM,103.05,474.23,4.6,3.92
P114,REM,80.97,614.7,7.59,4.41
P115,REM,90.32,613.18,6.79,4.37
P131,REM,82.65,561,6.79,3.44
P80,FUN,68.16,559.8,8.21,3.56
P81,FUN,122.66,406.41,3.31,3.3
P109,FUN,82.54,448.7,5.44,3.62
P116,FUN,77.93,507.63,6.51,3.33
P108,FUN,63.43,630.09,9.93,4.08
P135,FUN,93.88,624.01,6.65,4.14
P143,FUN,102.93,450.28,4.37,3.4
P132,FUN,83.58,598.69,7.16,3.54
P133,FUN,90.18,509.88,5.65,3.77
P144,FUN,119.94,561.79,4.68,3.31