river,tl,gm
Downstream Waal,7,0.4323
Downstream Waal,7.4,0.4799
Downstream Waal,5.4,0.1055
Downstream Waal,6.8,0.1588
Downstream Waal,7.5,0.6857
Downstream Waal,10,0.4505
Downstream Waal,8.5,0.1776
Downstream Waal,11.9,1.0306
Downstream Waal,10.5,0.0824
Downstream Waal,11,0.2346
Downstream Waal,11.8,0.4902
Downstream Waal,11.3,0.3044
Downstream Waal,12.6,0.2241
Downstream Waal,13.1,0.5806
Downstream Waal,12.8,0.3998
Downstream Waal,11.4,0.4239
Gelderse IJssel,7.7,0.2765
Gelderse IJssel,7,0.2121
Gelderse IJssel,7.6,0.3739
Gelderse IJssel,8.3,0.2923
Gelderse IJssel,10.1,0.5065
Gelderse IJssel,11.2,0.2901
Gelderse IJssel,12.2,0.3579
Nederrijn,5.6,0.0866
Nederrijn,5.4,0.0962
Nederrijn,7.3,0.3727
Nederrijn,8.2,0.3209
Nederrijn,8,0.5716
Nederrijn,7.8,0.3951
Nederrijn,8.2,0.3993
Nederrijn,5.9,0.1821
Nederrijn,6.9,0.1555
Nederrijn,7.5,0.6309
Nederrijn,8.1,0.7482
Nederrijn,9.1,0.476
Nederrijn,8.4,0.6317
Nederrijn,8.3,0.1819
Nederrijn,10.5,0.1199
Nederrijn,9.4,0.1375
Nederrijn,10,0.1713
Nederrijn,11.5,0.3708
Nederrijn,11.8,0.4102
Nederrijn,12.6,0.4216
Nederrijn,12,0.7303
Nederrijn,10.1,0.1941
Nieuwe Waterweg,7,0.5527
Nieuwe Waterweg,7.7,0.6344
Nieuwe Waterweg,13.9,0.9589
Nieuwe Waterweg,11.6,0.3232
Nieuwe Waterweg,13.2,0.211
Nieuwe Waterweg,13.9,0.7014
Nieuwe Waterweg,11.5,0.324
Nieuwe Waterweg,12.6,0.4722
Nieuwe Waterweg,11.9,0.2565
Nieuwe Waterweg,14.2,0.7965
Nieuwe Waterweg,15,1.0126
Nieuwe Waterweg,14.3,0.9332
Nieuwe Waterweg,14.9,0.6799
Upstream Waal,6.6,0.1894
Upstream Waal,6.7,0.2422
Upstream Waal,8.6,0.625
Upstream Waal,9.3,1.0303
Upstream Waal,5.4,0.0331
Upstream Waal,13.6,0.1792
Upstream Waal,12.5,0.1509
Upstream Waal,14.9,0.7357
Upstream Waal,13.8,1.1256
Upstream Waal,14,0.4439
Upstream Waal,14.2,0.5967