season,site,individual,mda,group
march,Loix,1,175.41,a
march,Loix,2,123.93,a
march,Loix,3,123.72,a
march,Loix,4,183.73,a
march,Loix,5,79.12,a
march,Loix,6,91.66,a
march,Loix,7,110.16,a
march,Loix,8,87.96,a
march,Loix,9,143.24,a
march,Loix,10,94.74,a
march,Port-Neuf,1,79.84,b
march,Port-Neuf,2,132.25,b
march,Port-Neuf,3,112.52,b
march,Port-Neuf,4,151.05,b
march,Port-Neuf,5,245.8,b
march,Port-Neuf,6,134.61,b
march,Port-Neuf,7,167.29,b
march,Port-Neuf,8,116.53,b
march,Port-Neuf,9,114.88,b
march,Port-Neuf,10,112.21,b
march,Minimes,1,323.27,c
march,Minimes,2,130.91,c
march,Minimes,3,154.14,c
march,Minimes,4,90.84,c
march,Minimes,5,143.45,c
march,Minimes,6,125.77,c
march,Minimes,7,231.61,c
march,Minimes,8,108.1,c
march,Minimes,9,105.63,c
march,Minimes,10,102.96,c
march,Les Palles,1,112.42,d
march,Les Palles,2,124.95,d
march,Les Palles,3,112.01,d
march,Les Palles,4,134.61,d
march,Les Palles,5,100.29,d
march,Les Palles,6,159.27,d
march,Les Palles,7,153.31,d
march,Les Palles,8,89.4,d
march,Les Palles,9,125.36,d
march,Les Palles,10,142.63,d
sept,Loix,1,100.76,e
sept,Loix,2,93.97,e
sept,Loix,3,95.17,e
sept,Loix,4,68.12,e
sept,Loix,5,37.02,e
sept,Loix,6,72.12,e
sept,Loix,7,108.75,e
sept,Loix,8,139.14,e
sept,Loix,9,86.08,e
sept,Loix,10,127.92,e
sept,Port-Neuf,1,212.31,f
sept,Port-Neuf,2,115.91,f
sept,Port-Neuf,3,176.65,f
sept,Port-Neuf,4,106.22,f
sept,Port-Neuf,5,137.27,f
sept,Port-Neuf,6,160.01,f
sept,Port-Neuf,7,151.19,f
sept,Port-Neuf,8,103.86,f
sept,Port-Neuf,9,147.34,f
sept,Port-Neuf,10,159.39,f
sept,Minimes,1,64.83,g
sept,Minimes,2,92.98,g
sept,Minimes,3,63.41,g
sept,Minimes,4,118.77,g
sept,Minimes,5,106.67,g
sept,Minimes,6,118.78,g
sept,Minimes,7,99.61,g
sept,Minimes,8,84.76,g
sept,Minimes,9,68.75,g
sept,Minimes,10,77.29,g
sept,Les Palles,1,114.46,h
sept,Les Palles,2,95.47,h
sept,Les Palles,3,90.79,h
sept,Les Palles,4,88.18,h
sept,Les Palles,5,69.56,h
sept,Les Palles,6,70.73,h
sept,Les Palles,7,131.37,h
sept,Les Palles,8,105.28,h
sept,Les Palles,9,97.54,h
sept,Les Palles,10,134.16,h