spp,svl,hw,hl,td,ew,tl,sl,fl,end,nsd,iod,ind,dsa,,,,,,,,,,
rk,67.72,22.35,21.64,5.18,3.13,27.45,37.76,59.08,4.83,4.52,4.35,4.49,1.085294615,,,,,,,,,,
rk,61.35,21.32,19.84,5.37,4.6,31.35,35.09,51.75,4.19,2.82,4.21,2.97,1.134461118,,,,,,,,,,
rk,53.68,19.2,17.59,4.14,3.49,25.42,27.82,44.06,3.45,2.72,3.25,3.89,1.154602736,,,,,,,,,,
rk,68.16,22.44,21.71,5.7,5.39,30.14,38.79,59.88,4.71,4.67,4.38,5.58,1.086246992,,,,,,,,,,
rk,71.67,23.45,21.25,5.75,5.27,33.12,38.65,61.07,4.45,4.63,4.76,5.6,1.16895743,,,,,,,,,,
rk,56.23,18.49,18.35,4.5,4.59,27.22,30.75,49.41,4.13,4.31,3.86,3.81,1.056018515,,,,,,,,,,
rk,48.59,16.26,17.09,4.75,4.29,24,26.89,43.8,4.36,3.99,3.48,4.54,0.991557524,,,,,,,,,,
rk,53.23,17.41,17.64,4.39,4.11,23.97,28.9,45.37,3.67,3.59,3.6,4.64,1.032174367,,,,,,,,,,
rk,59.77,20.07,18.72,5.46,5.15,31.09,32.86,49.53,3.68,3.47,3.73,4.6,1.13152034,,,,,,,,,,
rk,51.53,16.5,15.87,4.7,4.88,21.56,28.51,42.82,3.19,3.39,3.73,4.67,1.093347824,,,,,,,,,,
rk,57.3,17.36,17.09,4.88,4.34,24.97,30.39,47.37,3.32,4.74,4.03,3.93,1.065488879,,,,,,,,,,
rk,64.59,21.44,20.7,5.19,5.14,32.54,36.45,55.51,4.42,3.16,4.27,4.24,1.088728635,,,,,,,,,,
rk,63.68,21.1,21.39,4.74,6.1,33.17,38.25,54.66,3.86,4.05,4.52,4.29,1.031577482,,,,,,,,,,
rk,58.11,18.75,19.42,5.51,6.27,27.12,31.56,53.06,3.77,3.54,4.09,4.12,1.007583693,,,,,,,,,,
rk,60.79,18.99,18.07,5.07,4.81,29.27,32.86,49.34,4.25,3.24,4.08,3.5,1.106503266,,,,,,,,,,
rk,57.79,18.87,19.87,4.94,4.41,28.5,32.97,49.92,4.17,3.43,4.19,3.63,0.989556342,,,,,,,,,,
rk,79.98,24.15,25.6,5.94,6.17,36.44,44.86,65.35,5.19,5.75,6.08,5.71,0.982389428,,,,,,,,,,
rk,51.86,13.8,16.85,4.74,3.91,24.9,28.05,42.28,3.58,4.26,4.11,4.52,0.843802113,,,,,,,,,,
rk,55.32,16.5,18.2,3.82,4.1,24.55,29.37,46.9,3.09,3.7,3.4,3.06,0.940920773,,,,,,,,,,
rk,49.67,15.13,16.86,4.55,5.39,23.82,28.45,45.18,3.5,4.22,3.36,3.13,0.930609419,,,,,,,,,,
rk,61.79,21.1,21.12,4.98,4.42,27.06,33.27,51.18,3.94,4.05,4.1,4.51,1.046104257,,,,,,,,,,
rk,60.24,20.14,19.3,5.57,5.13,25.15,32.9,51.71,5.39,3.53,3.91,3.41,1.097829357,,,,,,,,,,
rk,63.91,21.62,21.64,6,5.53,26.93,33.28,53.04,3.88,3.64,4.83,3.91,1.046130525,,,,,,,,,,
rk,51.97,19.66,18.69,4.5,3.95,24.93,29.81,45.36,3.83,3.36,4.27,4.2,1.107662703,,,,,,,,,,
rk,70.55,24.8,23.83,6.44,7.8,35.22,40.65,60.14,4.27,5.45,5.34,4.24,1.094527364,,,,,,,,,,
rk,57.17,19.37,18.14,5.52,4.5,24.33,31.2,48.66,4.5,4.01,4,3.44,1.126419601,,,,,,,,,,
rk,58.54,19.17,20.35,4.07,4.01,23.36,32.05,49.79,4.24,4.31,3.8,4.19,0.980864814,,,,,,,,,,
rk,54.33,17.58,14.93,4.61,4.19,26.41,28.51,46.33,4.18,3.36,3.78,3.74,1.259016869,,,,,,,,,,
rk,66.68,22.57,20.48,5.34,5.73,28.11,37.4,54.15,4.84,4.17,4.01,4.44,1.167185011,,,,,,,,,,
rk,49.36,17.61,17.66,5.36,4.52,21.62,29.54,45.05,3.73,3.34,4.35,3.66,1.043929837,,,,,,,,,,
rk,67.25,22.57,19.47,5.19,5.97,30.13,37.22,56.55,4.66,5.39,5.06,4.56,1.236499194,,,,,,,,,,
rk,52.86,15.3,16.3,3.7,3.72,21.18,26.82,43.88,3.51,3.32,3.86,3.6,0.977052758,,,,,,,,,,
rk,55.61,16.97,16.14,5.04,4.39,25.42,29.21,47.56,4.11,3.33,4.18,3.91,1.107104995,,,,,,,,,,
rk,59.85,20.7,20.62,5.27,5.37,28.67,34.33,48.8,3.69,3.81,4.53,3.72,1.05168038,,,,,,,,,,
rk,66.72,22.72,20.85,5.55,5.36,33.21,37.1,55.61,5.1,3.9,5.99,4.84,1.152406428,,,,,,,,,,
rk,50.6,16.55,15.46,4.48,4.33,25.91,29.69,46,3.59,3.77,4.62,3.49,1.12961273,,,,,,,,,,
rk,68.74,23.17,20.19,5.02,4.59,30.42,35.87,55.67,4.72,4.01,4.6,5.49,1.222273709,,,,,,,,,,
rk,50.95,17.36,14.72,4.82,4.48,20.85,28.7,44.8,3.35,3.43,3.4,3.95,1.261310058,,,,,,,,,,
rk,49.89,16.23,16.14,3.81,3.93,26.71,25.46,41.59,3.89,3.42,3.57,3.5,1.053642408,,,,,,,,,,
rk,56.54,17.48,17.61,3.55,4.07,28.52,29.68,46.63,3.45,3.55,4.26,3.71,1.038683793,,,,,,,,,,
rk,54.75,17.03,16.12,4.49,3.62,24.1,28.05,37.39,3.23,3.36,4,3.7,1.11301943,,,,,,,,,,
rk,59.36,18.11,17.42,4.19,3.96,27.93,31.1,49.6,3.87,3.64,4.34,4.83,1.093244931,,,,,,,,,,
rk,52.21,15.16,16.92,3.78,3.23,21.07,27.21,42.11,3.65,3.51,2.75,3.66,0.929032905,,,,,,,,,,
rk,58.99,19.77,19.69,5.88,5.6,30.63,33.03,50.85,4.32,3.16,4.23,3.94,1.051892257,,,,,,,,,,
rk,50.67,16.69,16.51,4.64,4.17,24.29,27.64,43.13,3.23,2.63,3.11,3.74,1.059809697,,,,,,,,,,
rk,52.95,15.42,16.17,3.71,4.06,23.96,28.25,44.72,3.71,4.66,3.82,4.34,0.994041565,,,,,,,,,,
rk,53.96,17.74,16.94,5.01,4.45,23.61,29.28,46.53,3.72,3.51,4.27,4.1,1.102171974,,,,,,,,,,
rk,51.51,16.1,16.03,4.74,3.91,24.47,26.93,44.29,3.36,2.49,3.85,3.38,1.052243592,,,,,,,,,,
rk,50.61,17.24,14.57,3.43,3.13,26.87,27.87,40.83,3.84,3.27,4.39,2.81,1.266149942,,,,,,,,,,
rk,54.82,18.29,16.84,4.45,4.64,26.73,30.53,48.16,3.58,3,4.15,3.81,1.148135593,,,,,,,,,,
rk,70.38,23.06,22.65,7.02,6.14,29.21,38.43,59.26,4.52,4.63,5.76,5.6,1.068163244,,,,,,,,,,
rk,59.24,20.36,18.99,5.74,5.58,25.32,32.99,49.18,3.68,3.99,4.13,3.69,1.131553329,,,,,,,,,,
rk,55.09,19.35,19.56,4.64,4.87,25.98,32.93,50.29,4.33,3.28,3.71,4.33,1.034822485,,,,,,,,,,
rk,60.31,20.43,18.25,5.09,5.19,25.75,33.86,50.38,4.86,4.32,4.39,4.53,1.188110298,,,,,,,,,,
rk,57.89,19.5,19.94,5.55,4.9,27.37,32.55,49.44,4.03,3.7,4.7,3.94,1.021810046,,,,,,,,,,
rk,62.67,21.76,19.17,5.79,4.9,27.65,33.8,49.99,3.77,4.02,4.96,3.91,1.207062635,,,,,,,,,,
rk,61.68,20.02,18.05,5.36,4.96,27.3,32.9,50.56,3.66,3.67,4.66,3.7,1.175693802,,,,,,,,,,
rk,60.77,22.18,19.69,5.53,4.79,27.98,34.31,53.63,4.03,4.09,5.41,4.66,1.196579374,,,,,,,,,,
rk,59.21,20.75,16.91,4.3,4.42,25.75,32.21,50.88,3.94,5,4.55,4.05,1.321077276,,,,,,,,,,
rk,58.24,19.98,18.83,4.72,4.69,27.15,34.01,50.23,3.76,4.39,4.33,4.06,1.118466427,,,,,,,,,,
rk,58.66,18.22,18.73,4.97,5.8,27.19,30.9,47.92,3.35,3.36,4.45,4.36,1.015896296,,,,,,,,,,
rk,65.19,21.16,19.14,4.82,4.36,29.46,36.26,55.83,5.06,4.47,4.49,4.06,1.171366939,,,,,,,,,,
rk,58.09,20.31,18.96,5.22,4.51,29.39,32.73,49.49,3.87,4.03,4.71,4.78,1.130439179,,,,,,,,,,
rk,65.69,22.87,20.39,4.92,5.25,29.55,35.58,53.9,4.82,4.64,4.73,4.22,1.190737569,,,,,,,,,,
rk,58.98,22.3,19.57,5.75,4.47,28.5,35.78,53.28,3.97,4.52,6.04,4.31,1.212402306,,,,,,,,,,
rk,60.95,21.71,19.34,5.51,5.81,30.7,32.97,51.94,3.77,4.51,5.42,4.46,1.191843773,,,,,,,,,,
rk,65.42,21.23,20.19,5.09,6.15,31.07,34.52,52.86,3.73,3.49,4.58,4.33,1.107205645,,,,,,,,,,
rk,60.3,22.2,18.29,4.86,5.35,26.22,33.6,50.53,4.53,4.2,5.28,4.82,1.304280937,,,,,,,,,,
rk,52.43,17.77,17.36,4.8,4.49,27.24,30.06,42.9,3.49,2.97,3.85,4.03,1.074577764,,,,,,,,,,
rk,47.71,16.48,16.13,4.29,3.68,22.98,25.21,39.36,2.78,2.99,3.47,3.19,1.072344989,,,,,,,,,,
rk,48.21,17.19,17.2,4.31,4.7,22.58,25.97,39.27,2.91,3.13,3.37,3.22,1.046526279,,,,,,,,,,
rk,51.26,16.6,17.24,4.66,3.84,24.25,27.84,40.78,3.04,3.59,3.54,4.12,1.004590431,,,,,,,,,,
rk,48.44,14.86,15.51,3.55,3.72,21.81,25.92,39.04,3.2,4.28,3.94,3.29,0.99913463,,,,,,,,,,
rk,58.87,19.02,18.92,4.91,5.07,30.96,34.49,50.43,4.22,3.66,4.02,3.91,1.053306015,,,,,,,,,,
rk,67.54,22.22,22.16,5.68,5.02,31.26,38.7,60.71,3.97,4.3,5.47,4.21,1.05032541,,,,,,,,,,
rk,64.15,21.19,22.54,5.23,4.96,33.45,37.43,58.61,4.38,3.66,4.15,3.79,0.978702189,,,,,,,,,,
rk,52.11,16.29,18.06,4.65,4.08,26.52,29.61,42.38,3.43,3.86,3.73,3.14,0.935763436,,,,,,,,,,
rk,54.16,18.65,19.17,4.66,4.82,20.59,28.55,44.85,3.39,3.01,4.51,3.11,1.016014555,,,,,,,,,,
rk,62.21,19.29,19.15,4.94,4.17,30.05,35.65,50.22,4.79,4.26,4.09,3.52,1.055649562,,,,,,,,,,
rk,47.78,14.34,17.13,4.65,4.92,25.56,26.99,43.41,2.85,3.71,2.9,3.61,0.863726973,,,,,,,,,,
rk,69.69,23.81,23.67,6.23,7.26,39.81,39.36,57.97,4.11,5,4.93,4.7,1.054033971,,,,,,,,,,
rk,47.54,15.36,16.32,4.31,4.52,22.97,28.58,43.2,3.56,3.38,3.3,2.85,0.979914653,,,,,,,,,,
rk,66.86,22.22,21.42,6.01,5.42,33.66,35.46,50.89,4.05,4.69,4.92,4.73,1.090598903,,,,,,,,,,
rk,60.93,21.77,19.27,5.74,5.25,32.34,33.71,49.76,4.27,4.65,4.51,3.54,1.20054576,,,,,,,,,,
rk,60.51,21.4,21.42,5.36,5.75,33.38,34.95,50.39,4.72,3.29,4.7,4.42,1.046119567,,,,,,,,,,
rk,60.95,20.4,19.21,5.37,5.51,29.48,34.6,50.97,4.39,4.01,4.76,4.4,1.119497838,,,,,,,,,,
rk,65.09,21.68,20.56,5.4,4.89,28.88,35,53.24,3.99,4.3,4.87,3.79,1.110692047,,,,,,,,,,
rk,57.91,20.87,19.28,4.3,6.14,28.65,31.96,48.63,4.1,3.83,4.91,3.76,1.143808929,,,,,,,,,,
rk,65.42,22.13,21.75,5.32,5.97,36.1,38.16,54.35,4.29,5.12,4.91,4.67,1.067431065,,,,,,,,,,
rk,63.29,19.94,20.86,5.84,5.16,28.15,33.73,49.45,4.31,4.47,4.68,4.92,0.996634768,,,,,,,,,,
rk,54.2,18.12,17.6,4.81,4.73,27.37,29.37,47.2,2.25,3.56,4.69,3.78,1.081485067,,,,,,,,,,
rk,60.89,19.95,20.89,5.8,4.83,25.19,33.06,49.51,3.52,3.43,4.61,4.22,0.995617068,,,,,,,,,,
rk,68.37,21.94,20.68,6.15,5.73,29.36,37.82,53.87,3.91,4.41,5.48,4.75,1.118296172,,,,,,,,,,
rk,65.21,21.1,21.99,5.85,5.8,32.92,38.82,54.77,4.12,5.22,4.82,4.16,1.000770357,,,,,,,,,,
rk,56.41,19.58,20.24,4.42,4.35,28.18,32.97,46.4,4.3,3.56,4.51,3.6,1.009744544,,,,,,,,,,
rk,61.61,21.07,19.99,5.63,5.43,27.07,33.82,49.45,3.89,4.27,4.61,4.47,1.110165215,,,,,,,,,,
rk,64.4,22.14,21.08,6.13,6.07,32.32,34.58,53.72,4.59,3.52,5.01,4.24,1.105764669,,,,,,,,,,
rk,64.37,20.92,21.01,5.61,5.11,28.99,34.98,50.45,4.71,3.75,4.49,3.93,1.042254711,,,,,,,,,,
rk,68.89,22.5,20.28,6.06,5.55,30.64,38.64,55.77,4.2,4.48,4.97,3.76,1.176085808,,,,,,,,,,
rk,76.75,25.76,24.72,6.52,5.26,37.73,43.64,64.27,4.92,4,5.51,5.73,1.096127615,,,,,,,,,,
rk,36.79,11.1,13.06,2.18,1.19,15.7,19.3,29.03,3.16,1.2,3.23,1.18,0.877839183,,,,,,,,,,
rk,37.23,12.76,13,3.34,2.73,15.74,23.08,32.95,3.59,2.56,3.43,2.49,1.025944797,,,,,,,,,,
rk,34.42,11.66,15.11,1.77,2.7,21.95,21.43,29.39,3.3,3.31,3.4,1.97,0.792230224,,,,,,,,,,
rk,63.18,21.11,19.51,4.45,4.17,32.59,35.41,51.81,5.06,4.38,4.76,3.54,1.143262338,,,,,,,,,,
rk,77.56,25.91,27.49,6.45,5.75,37.76,46.96,64.96,5.59,6.31,6.72,5.13,0.981442792,,,,,,,,,,
rk,53.13,15.75,16.27,4.58,3.96,24.87,28.82,44.6,4.67,2.49,3.8,3.25,1.010485028,,,,,,,,,,
rk,54.38,16.75,15.92,4.29,3.66,20.49,28.45,45.56,4.92,3.33,3.57,3.15,1.107940508,,,,,,,,,,
rk,46.86,13.96,14.18,4.57,3.81,21.97,26.26,39.72,3.81,2.9,3.32,2.58,1.029328442,,,,,,,,,,
rk,55.43,18.11,17.23,4.94,3.62,24.3,31.73,48.51,5.35,3.52,4.34,3.33,1.106692023,,,,,,,,,,
rk,43.05,14.92,14.51,2.44,2.5,20.73,24.9,38.44,3.15,2.54,3.01,2.86,1.079981802,,,,,,,,,,
rk,67.99,24.37,21.61,6.78,4.8,33.34,38.8,58.59,4.29,3.96,4.85,5.26,1.198102844,,,,,,,,,,
rk,57.16,16.98,17.17,4.16,4.19,28.96,30.1,48.59,3.63,3.28,3.98,3.84,1.034443245,,,,,,,,,,
rk,68.39,24.5,23.47,7.15,6.34,33.31,39.34,59.05,4.11,5.16,5.61,5.48,1.098254305,,,,,,,,,,
rk,63.84,20.51,21.11,5.77,5.05,31.03,34.5,52.32,3.91,4.52,3.87,4.35,1.01453059,,,,,,,,,,
rk,63.99,19.82,20.07,5.37,4.93,28.61,33.51,53.94,4.13,4.35,3.79,4.39,1.032843751,,,,,,,,,,
rk,65.37,22.74,22.18,5.78,5.29,29.98,37.78,58.91,4.39,3.93,4.39,4.64,1.076476172,,,,,,,,,,
rk,60.13,19.15,18.62,5.7,4.82,33.74,34.09,51.91,4.13,4.31,4.12,4.91,1.080223899,,,,,,,,,,
rk,60.43,21.41,19.16,5.14,4.48,33.24,34.92,51.78,3.94,3.5,3.38,4.26,1.185673797,,,,,,,,,,
rk,51.01,15.81,15.54,4.79,3.8,23,29.43,43.11,3.78,3.06,3.04,3.45,1.067318691,,,,,,,,,,
rk,51.07,16.99,17.29,3.99,3.69,25.73,31.43,46.7,3.96,3.49,4.04,3.62,1.027219537,,,,,,,,,,
rk,51.71,16.82,17.93,4.69,3.09,24.05,31.34,49.65,3.62,2.56,3.89,3.26,0.976421205,,,,,,,,,,
rk,37.44,12.47,12.8,3.82,3.24,22.26,23.14,34.57,2.97,2.57,3.12,2.35,1.017553678,,,,,,,,,,
rk,43.8,14.92,14.7,4.25,3.31,23.29,26.68,41.54,3.31,2.78,3.45,3.29,1.064522323,,,,,,,,,,
rk,63.68,22.16,21.49,4.26,3.62,28.75,36.76,55.88,4.21,3.45,4.22,3.9,1.083389013,,,,,,,,,,
rk,54.16,16.72,17.23,3.79,3.52,24.51,30.47,47.36,3.53,2.85,3.93,3.36,1.013184292,,,,,,,,,,
rk,42.21,12.86,13.58,4.12,3.43,21.21,24.8,36.13,3.75,3.29,2.67,2.55,0.986498746,,,,,,,,,,
rk,35.6,11.7,12.89,3.69,3.24,18.82,21.58,32.78,2.39,2.66,2.82,2.44,0.942140409,,,,,,,,,,
rk,50.99,16.1,16.28,4.36,4.23,26.04,29.59,45.12,3.5,3.94,3.38,3.67,1.034453946,,,,,,,,,,
rk,61.66,19.4,19.9,5.57,4.17,31.38,36.85,52.28,4.96,4.47,4.12,3.67,1.018304462,,,,,,,,,,
rk,59.02,19.5,18.82,4.46,3.84,27.46,32.95,51.32,4.84,3.66,3.98,3.97,1.089176358,,,,,,,,,,
rk,52.88,17.47,19.77,4.24,3.89,26.5,31.38,48.59,4.13,3.89,4.05,3.6,0.915277477,,,,,,,,,,
rk,72.47,22.44,23.41,4.94,4.03,35.56,40.45,61.97,4.35,4.85,5.18,4.65,0.999673708,,,,,,,,,,
