culm,reprod,basalarea,treatment
8,1,11.8378,High Duff
19,1,160.925,High Duff
3,1,15.9355,High Duff
9,1,84.78,High Duff
44,1,346.97,High Duff
15,1,82.15025,High Duff
4,1,43.5204,High Duff
0,0,8.2425,High Duff
1,1,41.01625,High Duff
1,1,229.691,High Duff
1,1,102.05,High Duff
1,1,714.507,High Duff
0,0,52.752,High Duff
1,1,671.175,High Duff
21,1,116.808,High Duff
1,1,51.025,High Duff
1,1,221.95875,High Duff
22,1,89.49,High Duff
2,1,10.99,High Duff
5,1,5.2752,High Duff
19,1,11.0528,High Duff
10,1,11.97125,High Duff
1,1,32.499,High Duff
3,1,61.0416,High Duff
3,1,67.1175,High Duff
5,1,32.499,High Duff
8,1,343.24125,High Duff
1,1,532.701,High Duff
31,1,26.49375,Low Duff
13,1,5.8875,Low Duff
0,0,18.01575,Low Duff
0,0,261.35005,Low Duff
0,0,13.2665,Low Duff
1,1,13.2665,Low Duff
1,1,12.2774,Low Duff
0,0,3.57175,Low Duff
3,1,11.4767,Low Duff
1,1,6.0445,Low Duff
0,0,31.4,Low Duff
0,0,0.3925,Low Duff
0,0,139.887,Low Duff
0,0,0.19625,Low Duff
76,1,759.29125,Low Duff
0,0,173.328,Low Duff
61,1,85.71415,Low Duff
28,1,87.33125,Low Duff
44,1,518.5396,Low Duff
87,1,369.7036,Low Duff
56,1,204.1,Low Duff
37,1,300.60005,Low Duff
34,1,1387.88,Low Duff
3,1,235.5,Low Duff
6,1,82.425,Low Duff
0,0,24.178,Low Duff
38,1,1017.36,Low Duff
1,1,4.9455,Low Duff
0,0,52.2025,Low Duff
20,1,260.34525,Low Duff
5,1,201.47025,Low Duff
1,1,241.3875,Low Duff
1,1,110.685,Low Duff
1,1,68.72675,Low Duff
19,1,133.45,Low Duff
14,1,100.6841,Low Duff
4,1,14.8365,Low Duff
1,1,18.25125,Low Duff
27,1,107.388,Low Duff
4,1,14.0672,Low Duff
0,0,13.4235,Low Duff
1,1,68.609,Low Duff
1,1,23.7384,Low Duff
1,1,427.4325,Low Duff
8,1,50.24,Low Duff
3,1,6.123,Low Duff
44,1,146.2612,Low Duff + Pinecones
0,0,47.8065,Low Duff + Pinecones
0,0,102.05,Low Duff + Pinecones
8,1,139.0235,Low Duff + Pinecones
12,1,111.156,Low Duff + Pinecones
0,0,7.9442,Low Duff + Pinecones
21,1,38.42575,Low Duff + Pinecones
0,0,19.782,Low Duff + Pinecones
56,1,547.145,Low Duff + Pinecones
2,1,7.3005,Low Duff + Pinecones
42,1,213.71625,Low Duff + Pinecones
28,1,570.0513,Low Duff + Pinecones
0,0,9.577,Low Duff + Pinecones
6,1,431.75,Low Duff + Pinecones
23,1,283.7775,Low Duff + Pinecones
1,1,49.455,Low Duff + Pinecones
1,1,60.0525,Low Duff + Pinecones
12,1,12.8112,Low Duff + Pinecones
0,0,36.4711,Low Duff + Pinecones
1,1,3.5325,Low Duff + Pinecones
3,1,184.0825,Low Duff + Pinecones
0,0,5.1025,Low Duff + Pinecones
3,1,97.968,Low Duff + Pinecones
0,0,17.27785,Low Duff + Pinecones
1,1,171.2242,Low Duff + Pinecones