plot,pot,id,light,water,density,finaldam,dwtotal
1,3,1A,Lit,Water,Low,3,0.56
1,4,1B,Lit,NW,High,1.67,0.837
1,2,1E,Lit,NW,Low,,0.05
1,1,1F,Lit,Water,High,3,0.9
2,1,2A,Lit,Water,Low,2,0.7
2,2,2B,Lit,NW,High,2,0.503
2,3,2E,Lit,NW,Low,5,0.53
2,4,2F,Lit,Water,High,3.67,0.483
3,2,3A,Control,Water,Low,2,0.82
3,4,3B,Control,NW,High,2.33,0.793
3,3,3E,Control,NW,Low,,0.08
3,1,3F,Control,Water,High,4,0.533
4,4,4A,Lit,Water,Low,2,1.13
4,1,4B,Lit,NW,High,3,0.91
4,3,4E,Lit,NW,Low,1,3.31
4,2,4F,Lit,Water,High,1.67,1.93
5,2,5A,Control,Water,Low,3,1.28
5,1,5B,Control,NW,High,2.33,1.143
5,4,5E,Control,NW,Low,1,0.82
5,3,5F,Control,Water,High,2,1.963
6,4,6A,Control,Water,Low,1,1.06
6,2,6B,Control,NW,High,2.33,0.503
6,3,6E,Control,NW,Low,3,0.35
6,1,6F,Control,Water,High,3.67,0.743
7,1,7A,Control,Water,Low,3,0.71
7,4,7B,Control,NW,High,4,0.235
7,3,7E,Control,NW,Low,,0.16
7,2,7F,Control,Water,High,3.33,0.38
8,2,8A,Lit,Water,Low,,0.14
8,3,8B,Lit,NW,High,2,1.183
8,4,8E,Lit,NW,Low,3,0.81
8,1,8F,Lit,Water,High,3,0.61
9,4,9A,Control,Water,Low,3,1.36
9,3,9B,Control,NW,High,1.67,0.813
9,2,9E,Control,NW,Low,1,0.48
9,1,9F,Control,Water,High,2.33,1.103
10,3,10A,Lit,Water,Low,4,2.05
10,4,10B,Lit,NW,High,2,0.523
10,2,10E,Lit,NW,Low,2,0.92
10,1,10F,Lit,Water,High,3,1.097