bin,comp,nutrient,biom,biomadj
A1,No Competition,Null (0 g N/m2/year),6.91,-21.3835
A1,No Competition,Null (0 g N/m2/year),15.34,-15.4934
A1,With Competition,Null (0 g N/m2/year),4.51,-23.5499
A1,With Competition,Null (0 g N/m2/year),4.97,-24.5266
A2,No Competition,High (120 g N/m2/year),62.75,41.94254
A2,No Competition,High (120 g N/m2/year),36.26,6.362312
A2,With Competition,High (120 g N/m2/year),35.78,6.149672
A2,With Competition,High (120 g N/m2/year),32.77,0.298714
A4,No Competition,High (120 g N/m2/year),78.9,45.1256
A4,No Competition,High (120 g N/m2/year),74.17,39.7272
A4,With Competition,High (120 g N/m2/year),36.17,7.34175
A4,With Competition,High (120 g N/m2/year),43.99,14.62703
A5,No Competition,Null (0 g N/m2/year),7.55,-18.271
A5,No Competition,Null (0 g N/m2/year),13.7,-15.7966
A5,With Competition,Null (0 g N/m2/year),7.56,-22.8724
A5,With Competition,Null (0 g N/m2/year),8.5,-21.4651
A6,No Competition,Low (30 g N/m2/year),46.78,18.21911
A6,No Competition,Low (30 g N/m2/year),64.98,35.85071
A6,With Competition,Low (30 g N/m2/year),35.5,4.198148
A6,With Competition,Low (30 g N/m2/year),45.37,15.43863
A7,No Competition,High (120 g N/m2/year),40.88,10.41391
A7,No Competition,High (120 g N/m2/year),61.96,33.23175
A7,With Competition,High (120 g N/m2/year),27.9,-4.10288
A7,With Competition,High (120 g N/m2/year),59.24,28.00551
A8,No Competition,Low (30 g N/m2/year),35.7,5.802312
A8,No Competition,Low (30 g N/m2/year),34.1,3.733907
A8,With Competition,Low (30 g N/m2/year),22.85,-7.84977
A8,With Competition,Low (30 g N/m2/year),32.29,-0.916
A9,No Competition,Low (30 g N/m2/year),45.54,16.57807
A9,No Competition,Low (30 g N/m2/year),22.67,-7.194
A9,With Competition,Low (30 g N/m2/year),19.26,-11.4061
A9,With Competition,Low (30 g N/m2/year),18.75,-14.8907
B1,No Competition,Null (0 g N/m2/year),7.51,-21.853
B1,No Competition,Null (0 g N/m2/year),12.94,-16.7903
B1,With Competition,Null (0 g N/m2/year),8.98,-24.126
B1,With Competition,Null (0 g N/m2/year),2.23,-23.1226
B2,No Competition,Null (0 g N/m2/year),12.4,-19.3692
B2,No Competition,Null (0 g N/m2/year),8.23,-21.9014
B2,With Competition,Null (0 g N/m2/year),7.11,-22.153
B2,With Competition,Null (0 g N/m2/year),13.21,-20.1634
B3,No Competition,Low (30 g N/m2/year),46.11,16.11232
B3,No Competition,Low (30 g N/m2/year),49.19,19.69335
B3,With Competition,Low (30 g N/m2/year),20.29,-8.97297
B3,With Competition,Low (30 g N/m2/year),36.03,4.428158
C2,No Competition,High (120 g N/m2/year),59.7,28.06448
C2,No Competition,High (120 g N/m2/year),39.31,9.278633
C2,With Competition,High (120 g N/m2/year),39.86,8.358155
C2,With Competition,High (120 g N/m2/year),19.28,-9.44825
C4,No Competition,Null (0 g N/m2/year),10.88,-18.4167
C4,No Competition,Null (0 g N/m2/year),10.55,-20.8855
C4,With Competition,Null (0 g N/m2/year),5.25,-23.0435
C4,With Competition,Null (0 g N/m2/year),8.49,-24.2823
C7,No Competition,Low (30 g N/m2/year),37.75,9.389103
C7,No Competition,Low (30 g N/m2/year),36.1,6.770714
C7,With Competition,Low (30 g N/m2/year),27.67,-6.7728
C7,With Competition,Low (30 g N/m2/year),28.67,-1.76241
C10,No Competition,High (120 g N/m2/year),37.16,4.087681
C10,No Competition,High (120 g N/m2/year),36.91,7.547031
C10,With Competition,High (120 g N/m2/year),53.53,20.79135
C10,With Competition,High (120 g N/m2/year),57.05,25.21343