rep,site,salinity,scale,startdate,sendate,days
S_H1,North,Enhanced,Scale,26/5/12,20/7/12,55
S_H2,North,Enhanced,Scale,26/5/12,28/9/12,125
S_H3,North,Enhanced,Scale,26/5/12,17/8/12,83
S_H4,North,Enhanced,Scale,26/5/12,17/8/12,83
S_H5,North,Enhanced,Scale,26/5/12,14/9/12,111
S_H6,North,Enhanced,Scale,26/5/12,17/8/12,83
S_H7,North,Enhanced,Scale,26/5/12,14/9/12,111
S_NH1,North,Enhanced,NoScale,26/5/12,28/9/12,125
S_NH2,North,Enhanced,NoScale,26/5/12,3/8/12,69
S_NH3,North,Enhanced,NoScale,26/5/12,20/7/12,55
S_NH4,North,Enhanced,NoScale,26/5/12,6/7/12,41
S_NH5,North,Enhanced,NoScale,26/5/12,20/7/12,55
S_NH6,North,Enhanced,NoScale,26/5/12,20/7/12,55
S_NH7,North,Enhanced,NoScale,26/5/12,20/7/12,55
NS_H1,North,Ambient,Scale,26/5/12,28/9/12,125
NS_H2,North,Ambient,Scale,26/5/12,20/7/12,55
NS_H3,North,Ambient,Scale,26/5/12,28/9/12,125
NS_H5,North,Ambient,Scale,26/5/12,20/7/12,55
NS_H6,North,Ambient,Scale,26/5/12,20/7/12,55
NS_H7,North,Ambient,Scale,26/5/12,22/6/12,27
NS_NH1,North,Ambient,NoScale,26/5/12,28/9/12,125
NS_NH2,North,Ambient,NoScale,26/5/12,28/9/12,125
NS_NH3,North,Ambient,NoScale,26/5/12,28/9/12,125
NS_NH4,North,Ambient,NoScale,26/5/12,20/7/12,55
NS_NH5,North,Ambient,NoScale,26/5/12,3/8/12,69
NS_NH6,North,Ambient,NoScale,26/5/12,28/9/12,125
NS_NH7,North,Ambient,NoScale,26/5/12,28/9/12,125
S_H8,South,Enhanced,Scale,26/5/12,28/9/12,125
S_H9,South,Enhanced,Scale,26/5/12,20/7/12,55
S_H10,South,Enhanced,Scale,26/5/12,28/9/12,125
S_H11,South,Enhanced,Scale,26/5/12,20/7/12,55
S_H12,South,Enhanced,Scale,26/5/12,20/7/12,55
S_H13,South,Enhanced,Scale,26/5/12,28/9/12,125
S_H14,South,Enhanced,Scale,26/5/12,28/9/12,125
S_H15,South,Enhanced,Scale,26/5/12,28/9/12,125
S_NH8,South,Enhanced,NoScale,26/5/12,28/9/12,125
S_NH9,South,Enhanced,NoScale,26/5/12,28/9/12,125
S_NH10,South,Enhanced,NoScale,26/5/12,28/9/12,125
S_NH11,South,Enhanced,NoScale,26/5/12,28/9/12,125
S_NH12,South,Enhanced,NoScale,26/5/12,14/9/12,111
S_NH13,South,Enhanced,NoScale,26/5/12,28/9/12,125
S_NH14,South,Enhanced,NoScale,26/5/12,28/9/12,125
S_NH15,South,Enhanced,NoScale,26/5/12,20/7/12,55
NS_H8,South,Ambient,Scale,26/5/12,28/9/12,125
NS_H9,South,Ambient,Scale,26/5/12,31/8/12,97
NS_H10,South,Ambient,Scale,26/5/12,6/7/12,41
NS_H11,South,Ambient,Scale,26/5/12,28/9/12,125
NS_H12,South,Ambient,Scale,26/5/12,14/9/12,111
NS_H13,South,Ambient,Scale,26/5/12,28/9/12,125
NS_H14,South,Ambient,Scale,26/5/12,28/9/12,125
NS_H15,South,Ambient,Scale,26/5/12,31/8/12,97
NS_NH8,South,Ambient,NoScale,26/5/12,3/8/12,69
NS_NH9,South,Ambient,NoScale,26/5/12,28/9/12,125
NS_NH10,South,Ambient,NoScale,26/5/12,28/9/12,125
NS_NH11,South,Ambient,NoScale,26/5/12,28/9/12,125
NS_NH12,South,Ambient,NoScale,26/5/12,17/8/12,83
NS_NH13,South,Ambient,NoScale,26/5/12,28/9/12,125
NS_NH14,South,Ambient,NoScale,26/5/12,17/8/12,83
NS_NH15,South,Ambient,NoScale,26/5/12,28/9/12,125