abund,area,graze,grazecat
5.3,0.1,2,low
2,0.5,5,intense
1.5,0.5,5,intense
17.1,1,3,medium
13.8,1,5,intense
14.1,1,3,medium
3.8,1,5,intense
2.2,1,5,intense
3.3,1,4,high
3,1,5,intense
27.6,2,3,medium
1.8,2,5,intense
21.2,2,2,low
14.6,2,1,zero
8,2,5,intense
3.5,2,5,intense
29,3,3,medium
2.9,3,3,medium
24.3,4,3,medium
19.4,4,2,low
24.4,4,2,low
5,4,5,intense
15.8,5,3,medium
25.3,5,1,zero
19.5,6,3,medium
20.9,6,3,medium
16.3,7,3,medium
18.8,7,4,high
19.9,8,4,high
13,9,5,intense
6.8,10,3,medium
21.7,11,4,high
27.8,12,4,high
26.8,12,4,high
16.6,13,2,low
30.4,15,3,medium
11.5,17,5,intense
26,18,2,low
25.7,19,4,high
12.7,22,5,intense
23.5,26,1,zero
24.9,29,3,medium
29,32,1,zero
28.3,34,1,zero
28.3,40,2,low
32,44,3,medium
37.7,48,3,medium
39.6,49,1,zero
29.6,50,1,zero
31,57,1,zero
34.4,96,2,low
27.3,108,1,zero
30.5,134,1,zero
33,144,1,zero
29.5,973,1,zero
30.9,1771,1,zero