stream,zinc,diversity,zn
Eagle,BACK,2.27,2
Eagle,HIGH,1.25,407
Eagle,HIGH,1.15,336
Eagle,MED,1.62,104
Blue,BACK,1.7,7
Blue,HIGH,0.63,1735
Blue,BACK,2.05,3
Blue,BACK,1.98,9
Blue,HIGH,1.04,691
Blue,MED,2.19,72
Blue,MED,2.1,56
Snake,BACK,2.2,13
Snake,MED,2.06,72
Snake,HIGH,1.9,364
Snake,HIGH,1.88,399
Snake,HIGH,0.85,276
Arkan,LOW,1.4,39
Arkan,LOW,2.18,28
Arkan,LOW,1.83,24
Arkan,LOW,1.88,26
Arkan,MED,2.02,181
Arkan,MED,1.94,79
Arkan,LOW,2.1,27
Chalk,LOW,2.38,31
Chalk,HIGH,1.43,452
Chalk,HIGH,1.37,224
Chalk,MED,1.75,76
Chalk,LOW,2.83,26
Splat,BACK,1.53,2
Splat,BACK,0.76,12
Splat,MED,0.8,168
Splat,LOW,1.66,24
Splat,MED,0.98,52
Splat,BACK,1.89,10