dist,groupsize,temp,wind,filmp,timehb,vbout,olre
30,40,15.375,2.075,9.492066667,0,s1,1
30,40,15.375,2.075,13.0904,11.42466667,s1,2
50,20,15.56,3.22,22.55333333,18.4564,s6,3
50,20,15.56,3.22,22.55333333,15.06613333,s6,4
50,30,15.3,2.9,5.025,1.217116667,s7,5
50,30,15.3,2.9,5.025,1.217333333,s7,6
78,53,14.98,2.16,24.09086667,22.86673333,s8,7
78,53,14.98,2.16,24.09086667,6.5334,s8,8
115,22,16.1,3,14.0646,6.6238,s9,9
115,22,16.1,3,14.0646,12.08253333,s9,10
30,100,24.5,2.34,20.1352,18.99415,s10,11
30,100,24.5,2.34,20.1352,10.8424,s10,12
60,6,20.9,1.54,21.26415,15.22245,s11,13
60,6,20.9,1.54,21.26415,14.65965,s11,14
80,30,27.7,1.72,16.70355,0,s12,15
80,30,27.7,1.72,16.70355,0,s12,16
150,20,23.9,1.72,20.4793,3.47415,s14,17
150,20,23.9,1.72,20.4793,2.86205,s14,18
57,100,31.52,3.7,20.838,1.1181,s15,19
57,100,31.52,3.7,20.838,0.7273,s15,20
180,40,30.42,2.88,19.14835,12.09745,s16,21
180,40,30.42,2.88,19.14835,3.7101,s16,22
180,100,35.48,1.28,9.92875,0,s17,23
180,100,35.48,1.28,9.92875,0,s17,24
75,33.6,36.02,3.04,20.10555,0.96815,s18,25
75,33.6,36.02,3.04,20.10555,2.6486,s18,26
20,15,21,17.46,21.2117,5.031866667,s19,27
20,15,21,17.46,21.2117,5.044283333,s19,28
50,100,40.6,2.6,7.25635,0,s21,29
50,100,40.6,2.6,7.25635,0,s21,30
50,100,42.46,6.54,19.69465,0,s22,31
50,100,42.46,6.54,19.69465,0,s22,32
20,100,42.46666667,2.433333333,12.7027,0,s23,33
20,100,42.46666667,2.433333333,12.7027,0,s23,34
39,50,22.94,1.6,20.77275,8.2246,s24,35
39,50,22.94,1.6,20.77275,17.0771,s24,36
23,100,30.66,3.32,20.3421,1.02785,s25,37
23,100,30.66,3.32,20.3421,2.5978,s25,38
23,100,31.12,2.34,20.1619,1.653,s26,39
23,100,31.12,2.34,20.1619,0.23245,s26,40
53,40.4,34.82,2.1,19.853,0,s27,41
53,40.4,34.82,2.1,19.853,0,s27,42