e100,depth,rc,temp,salinity,seasprod,icefree,prod,lat,lon,sprich
13.07835929,26,2,-0.8923,31.2973,2.407069488,293.3,62.2709046,70.3,-146.08,14
11.50393789,31,2,-0.8991,31.3444,2.726143023,307.3,46.83229563,70.35,-146.57,12
11.98495746,27,2,-0.756,31.2805,4.244606629,330.8,64.8012962,70.22,-148.07,14
14.64481452,41,2,-0.8733,31.9668,3.300004614,322.4,18.04454704,70.82,-148.05,15
21.63442633,24,2,-1.2173,31.4632,2.924773838,322.9,28.1575449,70.73,-148.8,23
7.794046938,19.8,2,-0.8745,30.7309,2.862883285,313.6,46.2440839,70.87,-150.5,10
6.870186558,39,2,-0.9741,31.2562,2.39576339,298.4,77.2498188,70.14,-145.48,7
12.41905119,26,2,-0.8991,31.3444,2.726143023,307.3,46.83229563,70.36,-146.6,16
9.235466516,19,2,-0.8745,30.7309,3.27417203,316,36.79187201,70.99,-150.53,10
7.617344889,4,2,-0.4913,28.2688,2.161362972,291.2,106.3568752,70.46,-148.77,8
6.663122939,5.8,2,-1.29,31.16,2.501879642,308.4,71.604238,70.56,-149.45,7
11.90938807,11,2,-1.315,31.2286,2.337552291,301.3,98.1563487,70.57,-149.45,15
5.229980411,5,2,-1.315,31.2286,2.337552291,301.3,98.1563487,70.56,-149.46,6
12.74809193,19.5,2,-1.1671,30.9923,2.311520443,290.9,86.4431529,70.52,-147.82,14
9.697510249,5.8,2,-1.2776,30.2478,2.12174278,289.6,110.1650039,70.32,-147.56,12
13.71698785,6.5,2,-1.3206,30.6793,2.12174278,289.6,110.1650039,70.3,-147.5,15
4.429012291,1.8,2,-0.8411,28.9594,2.158876048,292.9,149.148385,70.59,-151.96,5
5.115856326,1.5,2,-0.4913,28.2688,2.161362972,291.2,106.3568752,70.47,-148.85,6
6.552801151,1.8,2,-0.4913,28.2688,2.086063217,288.5,115.3947681,70.43,-148.67,9
10.53286017,13.4,2,-1.0991,30.0739,2.582560301,306.1,59.3993048,70.27,-146.5,11
10.08769198,4,2,-0.1329,27.2346,2.550299856,305.6,75.3283775,70.2,-146.5,16
12.92294513,14,2,-1.0814,31.2584,2.329531816,295.7,107.8377679,70.64,-150.5,13
7.862959788,12.5,2,-1.108,30.0992,2.199881014,292.8,94.7263046,70.27,-146.61,8
7.974987148,6,2,-1.1109,29.8816,2.19120124,292,95.5367748,70.27,-146.85,9
12.44647906,22,2,-1.0154,31.4083,2.637698855,307.7,54.7112934,70.82,-150.04,13
14.13298415,23,2,-1.0154,31.4083,2.637698855,307.7,54.7112934,70.83,-150.2,17
15.13419488,17.5,2,-0.8745,30.7309,3.27417203,316,36.79187201,70.96,-150.64,16
20.29394052,14.1,2,-1.3396,30.9188,2.248472961,291.7,90.4688632,70.52,-148.17,37
6.69253479,5,2,-1.2413,29.7754,2.237993177,287.7,94.6749239,69.68,-141.32,7
17.69536701,34,2,-1.3563,31.4208,2.134952123,270.9,100.7725201,69.88,-141.15,20
17.12484704,32,2,-1.3563,31.4208,2.138518714,270.9,102.5794933,69.89,-141.24,21
13.98178018,30,2,-1.3097,31.4454,2.09403743,272.5,101.9757827,69.82,-141.26,19
15.31708587,23,2,-1.3021,30.6584,2.082981823,278.1,97.9528357,69.79,-141.37,17
14.88627464,16.5,2,-1.3021,30.6584,2.240000008,288.5,90.5177704,69.75,-141.44,21
6.245931672,4,2,-0.7791,27.4204,2.237993177,287.7,94.6749239,69.66,-141.28,8
5.777498122,4,2,-0.7791,27.4204,2.418840383,298.9,85.4798148,69.66,-141.36,8
17.95751304,23.5,2,-1.2878,30.4828,2.276854181,286.9,78.3493834,70.06,-142.49,19
11.5892667,16,2,-1.3095,30.4271,2.242625474,286.9,79.1752907,70.02,-142.52,16
16.58581143,18,2,-1.1671,30.9923,2.926917816,314.9,35.9447791,70.62,-148.13,19
4.77025504,20,20,-0.9756,30.6654,2.015441243,282.9,169.9894736,69.71,-136.13,5
5.833322722,3,20,1.3146,20.4717,1.988472105,282.9,189.8928828,69.62,-135.87,6
1.476190476,1,20,0.9214,17.7846,2.053688465,289.3,196.924109,69.66,-134.53,2
4.226551703,8,20,-0.3284,28.825,2.053428048,285.3,175.2827397,69.78,-132.84,6
9.043733861,10,20,-0.3284,28.825,1.949003384,274.1,182.4312119,69.91,-132.82,11
4.810535561,3,20,1.1103,17.5715,2.031011093,284.5,186.4179736,69.78,-132.07,7
8.124079981,12,20,0.1418,28.9796,1.970983448,280.5,183.6564742,70.07,-131.2,13
8.159204556,8,20,-0.015,29.5247,2.064353902,288.5,152.2237317,70.26,-130.08,10
13.58851966,20,20,-0.9488,31.5945,1.65719544,237.6,153.1801296,70.5,-130.18,15
8.725601184,13,20,-0.0589,29.8512,2.077463256,285.2,149.5721071,70.41,-128.79,14
11.20628429,64,19,0.5555,34.657,1.733018486,224.8,65.8300524,75.19,22.23,16
16.95666239,30,19,-0.63,34.85,2.516128799,288.4,22.31869708,79.95,50.02,19
22.78895933,15,8,-1.44,34.74,2.339667302,290,18.66308908,76.22,62.67,33
7.945891014,2.5,2,-0.165,27.4763,3.27791681,320.8,52.5423131,70.16,-146.09,11
9.66667286,3,2,-0.1329,27.2346,2.681719718,312,61.5299886,70.19,-146.38,14
8.641374726,4.5,2,-0.1175,26.9942,2.519874437,306.4,87.7482266,70.13,-146.66,11
14.46064603,5.5,2,-1.1964,29.959,2.18414189,295.2,101.2618247,70.13,-147.03,16
11.87863663,5,2,-1.1964,29.959,2.166990104,292.8,99.5362499,70.29,-147.03,17
9.853374231,7,2,-1.3206,30.6793,2.130342981,291.2,107.519268,70.28,-147.36,16
7.727236352,3,2,-0.5557,27.502,2.133573527,292,111.4090654,70.22,-147.54,8
15.66565078,7.1,2,-1.3206,30.6793,2.143098641,289.3,97.5712274,70.36,-147.5,27
11.89448321,8,2,-1.37,31.16,2.274951586,298,79.5032715,70.47,-148.4,21
14.66830919,3,2,-0.8446,28.8257,2.186201001,290.9,131.108669,70.62,-150.48,16
12.25394573,19,2,-1.0914,30.7016,2.390846343,293.3,65.3396752,70.24,-146.03,16
8.342910552,17.2,2,-1.1,30.87,3.108145321,312.8,35.38498321,70.98,-150.72,9
2.890519033,14,2,-1.04,30.13,3.53033529,325.2,17.9295739,70.99,-150.79,3
5.342011722,3.2,2,-0.6644,29.2743,2.337744589,298.4,134.4428241,70.7,-152.33,8
5.536775361,16,2,-0.6999,30.5374,2.892046513,310.1,54.46143,71,-151.35,6
11.04775585,13,2,-1.0814,31.2584,2.186201001,290.9,131.108669,70.61,-150.41,14
15.39317049,21,2,-1.2173,31.4632,2.625884861,304.5,63.129175,70.71,-149.27,18
16.90799016,25,25,-0.4763,32.8659,1.738464515,247.6,37.95881295,66.09,-84.99,18
18.64585724,26,26,0.2461,32.8149,2.343413641,290.9,26.5749066,66.22,-83.58,25
17.25652542,26,26,-0.4763,32.8659,2.045304481,278,27.26359534,66.13,-84.63,26
15.60178604,26,23,-0.4763,32.8659,2.045304481,278,27.26359534,66.13,-84.63,19
18.25216732,26,21,-0.0901,32.8452,2.435538882,295.7,29.25592181,66.12,-83.7,23
17.41142621,50,21,-0.09,32.85,2.435538882,295.7,29.25592181,66.12,-83.7,24
12.70938737,26,23,-0.4763,32.8659,2.077752232,278.8,27.04362311,66.13,-84.59,18
17.77247253,30,32,-1.0229,33.343,2.000439341,270.8,52.3811486,76.46,-70.21,23
18.78246904,31,28,-0.9896,33.3313,3.045202805,311.6,31.9469205,76.55,-68.9,22
22.81518747,200,24,-0.1835,34.4235,4.241858072,339.6,8.64905248,75.33,-19,29
20.21994569,97.5,30,-0.1727,34.4474,3.156631658,320.4,21.4465063,74.08,-20.74,21
17.66019791,34,28,-0.9896,33.3313,3.059069903,312.4,31.7556896,76.56,-68.9,22
13.26040141,25,27,-0.0773,31.8811,2.718144983,310.9,22.52291963,69.37,-81.8,14
6.883993247,11,31,1.1488,31.8918,1.323587545,172.4,79.46495359,60.83,-46.8,7
4.797520661,6,31,1.0129,32.9878,6.734781851,364.4,0.4781088,60.97,-46.53,5
5.395581978,8,31,1.0129,32.9878,6.734781851,364.4,0.4781088,60.97,-46.53,7
11.73204843,49,8,-1.09,33.5,2.939239447,306,70.09469114,74.83,83.43,12
12.60139413,55,8,-1.31,34,3.33177814,330.8,26.6303957,76.66,83.88,13
12.23716207,73,8,-1.38,34.2,3.581982717,326,22.7716655,76.94,85.76,13
11.99084778,48,8,-1.23,33.71,3.985762094,336.4,33.0026802,75.46,82.55,15
9.577959834,27,8,-1.56,32.1,2.710931036,304.4,112.219159,74.5,74,10
7.659758875,37,8,-1.54,33,2.118677121,281.2,155.3659298,74,80.01,10
8.92081448,41,8,-1.56,32.1,1.970257924,273.2,179.9169224,73.77,79.99,9
9.656285053,26,8,-1.59,32,2.282533102,294.8,156.9287739,74,74,10
6.960054008,23,8,-1.59,29.5,1.832387628,256.4,198.8554404,73.42,78.81,8
15.76439041,36,8,-1.21,33.93,3.101131654,310,36.2816713,74.36,59.48,18
9.738459397,66,9,-1.65,33.78,4.162063135,342,17.4666126,77.6,132.27,11
13.74479357,76,9,-1.65,34.11,3.646346286,344.4,11.4854105,77.83,132.23,14
15.32109613,276.4,9,1.18,34.7,3.776789737,348.4,10.3991295,77.28,120.06,17
18.0506336,68,9,-1.31,33.48,4.323491587,346,9.3315084,76.95,118.59,19
12.87352819,61.6,9,-1.57,33.68,3.664409053,343.6,12.72572387,76.77,116.05,15
7.177822014,265,8,1.8034,34.9475,5.666383863,352.4,3.35833062,81.46,97.57,8
18.12850868,55,22,1.6327,32.715,1.439448049,227.6,131.2468465,65.99,-168.46,23
12.33095567,265,8,1.8034,34.9475,5.666383863,352.4,3.35833062,81.46,97.57,18
10.71954545,30,24,2.469,34.0594,1.634639407,204.1,45.31568226,65.58,-37.18,14
16.22061101,66,20,-1.4641,32.3987,1.711348837,241.3,199.0925835,70,-137.33,22
16.54410153,115,20,-1.4895,33.0023,1.884784874,259.7,162.0481322,70.08,-137.83,20
19.66636605,66,20,-1.4545,32.4005,1.806340788,248.5,184.981947,70.08,-137.55,27
27.97321008,128,20,-1.5009,33.0017,1.642004491,227.7,220.9444837,69.6,-138.2,30
8.095053161,22,20,-1.0055,30.8415,1.681154581,241.3,229.5327834,69.75,-136.65,9
7.657903966,43,20,-1.02,31.54,1.698270816,241.2,171.1571988,69.92,-137.1,10
7.834275033,22,20,-0.9513,30.6668,1.672503547,238.1,200.3442656,69.97,-135.79,11
11.84130849,78,20,-1.4573,32.4467,2.309886127,279.2,53.02152358,70.84,-133.89,13
7.170695475,14,20,-0.5336,28.3957,1.793086279,253.3,194.4124629,69.97,-134.74,10
16.32323847,67,20,-1.454,32.4103,2.232268977,282.4,124.7385967,70.4,-136.6,17
5.053635009,22,20,-0.9224,30.6901,1.926095581,274.1,189.400372,69.79,-135.52,7
15.35297728,19.5,2,-0.7921,31.5669,1.954941028,264.4,105.0486049,70.67,-128.53,23
8.918846546,18.7,20,-0.8365,31.6113,2.030721925,272,134.0074646,70.58,-129.41,16
11.71941222,132,8,-1.4558,34.4509,4.126549911,343.6,14.05504895,77.89,101.59,13
11.86139971,191,9,1.6702,34.8071,4.018648715,339.6,17.33868097,78.07,133.61,12
9.69047153,73,9,-1.6457,33.8777,3.637930357,338,21.0788793,77.91,133.56,10
16.468041,92,29,-1.4611,34.1968,2.861213184,338.8,24.8181758,77.03,126.41,19
11.6264136,193,9,0.4803,34.7265,3.688037365,338.8,16.346522,77.25,118.55,12
18.91507205,101,9,-1.4394,34.2074,3.880521956,342,15.5135833,77.17,118.71,20
13.66318579,235,9,0.77,34.87,3.635324149,339.6,13.28444625,78.58,111.39,14
3.333332959,7,20,-0.2807,28.808,2.047182087,285.3,182.6045566,69.77,-132.7,4
11.5715296,51.45,22,-1.43,32.48,2.700733808,315.6,17.0670194,71.21,-168.34,12
6.056334429,145,20,6.7699,35.0945,1.39238745,181.3,116.5138656,68.24,11.16,9
3.472108045,188.5,19,6.8526,35.152,1.336721775,176.5,120.123644,67.6,10.55,4
15.61099194,184,20,6.7863,35.0169,1.300903495,184.4,134.9629425,69.82,17.63,23
9.716962169,136,20,6.6548,34.929,1.342420344,178.1,118.4672485,68.78,13.05,16
11.90428484,190,20,5.68,35.11,1.407110293,201.2,112.4964611,70.48,17.45,20
3.859876567,120,20,6.7964,34.6518,1.207628845,174.9,114.9639332,67.4,12.72,6
4.430578447,120,20,6.9129,34.7193,1.220220867,172.5,121.1569215,67.15,12.17,7
5.168809362,77,21,7.3445,32.1854,1.15127158,137.2,223.8269285,59.08,-138.67,6
5.689360448,132,21,5.6378,32.9268,1.116450169,132.4,201.8551112,59.56,-141.42,6
7.754385965,104,21,6.0405,32.4985,1.113992132,131.6,212.347647,59.46,-139.84,8