pops,watervel,centroid,bodydep,pdlength,ppectlength,ppelvlength,dfb,afb,dcp,vcplength,acpdepth,pcplength,mpl,bodywidth,group
Otonabee,Still,2663,14.64,18.77,15.09,16.63,16.32,7.92,9.95,10.23,6.24,4.79,11.12,6.44,os
Otonabee,Still,2365,13.26,18.03,13.97,16.4,14.8,7.31,10.38,10.17,6.24,4.63,9.1,6.3,os
Otonabee,Still,3154,15.7,19.84,16.79,18.59,17.98,9.26,11.01,10.49,6.85,5.16,12.21,7.08,os
Otonabee,Still,2669,15.22,19.24,13.97,16.13,15.26,7.4,10.68,10.17,6.76,5.19,8.49,7.14,os
Otonabee,Still,3296,16.2,20.44,16.68,19.08,18.36,8.61,11.05,10.46,7.66,5.56,12.4,7.26,os
Otonabee,Still,2510,14.78,18.32,14.65,16.51,14.61,7.49,9.4,10.05,6.44,5.37,7.56,6.76,os
Otonabee,Still,3091,16.4,19.72,15.26,17.25,17.56,8.97,10,10.01,6.97,6.01,11.49,7.19,os
Otonabee,Still,2656,14.93,18.43,14.61,17.28,15.57,7.59,9.17,9.8,6.91,4.95,11.01,7.03,os
Otonabee,Still,3383,17.07,20.65,16.14,19.08,18.04,9.15,11.65,10.67,7.28,5.96,12.34,7.63,os
Otonabee,Still,2738,14.6,18.46,15.32,17.12,16.69,7.97,9.97,10.06,6.65,5.49,11.37,6.38,os
Otonabee,Still,3114,16.39,19.24,15.56,18.06,17.66,9.09,10.32,11.08,7.08,5.64,12.1,7.05,os
Otonabee,Still,2078,12.99,17.01,13.02,14.98,13.74,6.76,7.87,8.77,6.17,4.57,7.99,5.85,os
Otonabee,Still,2551,14.59,18.42,14.48,16.59,15.49,8.33,9.48,8.99,6.7,5.54,10.84,6.85,os
Otonabee,Still,2224,14.04,16.94,12.72,15.29,14.86,7.4,8.91,9.13,6.28,4.89,8.94,6.46,os
Otonabee,Still,2180,13.46,16.47,13.4,15.5,14.84,7.16,8.54,8.68,6.22,4.85,8.73,6.52,os
Otonabee,Still,2680,15.19,18.95,15.53,17.28,16.29,7.38,8.83,9.23,6.52,5.22,11.48,6.47,os
Otonabee,Flow,3363,17.46,20.93,17.14,19.59,17.91,8.83,10.65,10.63,7.45,6.06,9.79,7.23,of
Otonabee,Flow,2770,15.85,19.75,15.33,17.19,16.29,8.35,9.84,8.54,6.54,5.16,8.9,7.01,of
Otonabee,Flow,2881,14.89,19.48,16.11,17.72,16.73,7.69,9.52,10.35,6.81,5.17,10.42,6.39,of
Otonabee,Flow,4072,19.4,24.17,19.14,21.49,18.11,9.74,11.38,11.74,7.98,6.66,14.71,8.35,of
Otonabee,Flow,3083,16.37,20.31,16.15,18.86,16.75,8.44,9.16,10.1,7.18,5.81,12.43,7.71,of
Otonabee,Flow,2884,15.64,19.86,16.45,18.4,16.34,8.28,9.36,9.99,7.14,5.42,10.85,7.09,of
Otonabee,Flow,2980,16.02,20.07,16.19,18.43,16.33,8.26,11.52,10.71,7.07,5.22,10.97,7.67,of
Otonabee,Flow,3475,17.4,20.91,17.8,20.11,18.65,9.38,9.38,9.84,7.45,5.91,10.5,7.47,of
Otonabee,Flow,3498,18.08,21.62,17.71,19.51,18.34,8.56,10.43,10.74,7.39,5.38,11.39,7.75,of
Otonabee,Flow,4007,18.8,23.7,19.84,21.62,19.28,9.07,10.66,10.69,7.9,5.81,12.42,8.71,of
Otonabee,Flow,2731,15.18,19.23,15.31,18.28,15.83,7.95,9.57,10.72,6.94,5.38,11.26,6.64,of
Otonabee,Flow,2839,15.37,19.35,15.79,18.64,15.7,7.62,9.99,11.15,6.67,5.43,11.45,7.21,of
Otonabee,Flow,2328,14.07,17.89,14.48,15.96,14.9,7.04,8.77,9.94,6.52,5,7.25,6.94,of
Otonabee,Flow,3491,18.17,21.59,17.86,19.81,17.41,9.23,9.68,9.8,7.54,5.82,10.18,8.12,of
Rice,Still,4649,20.96,23.92,19.29,22.54,22.08,9.77,12.35,12.69,8.79,6.59,15.08,8.66,rs
Rice,Still,3427,17.97,21.05,17.28,20.41,18.27,9.28,10,10.3,7.43,5.86,10.55,7.89,rs
Rice,Still,2897,15.67,18.84,15.28,18.01,16.44,8.36,10.91,10.96,6.7,5.1,9.29,6.78,rs
Rice,Still,3837,18.93,22.48,18.01,20.12,19.96,9.49,11.19,11.34,8.08,6.11,14.54,8.67,rs
Rice,Still,3081,16.42,19.2,15.96,18.75,17.48,8.76,10.6,10.36,7.06,5.41,11.55,7.35,rs
Rice,Still,4841,21.35,23.28,19.7,22.4,22.99,9.8,11.94,13.58,8.42,6.07,12.02,8.97,rs
Rice,Still,3325,17.5,21.1,16.89,19.33,17.81,8.56,10.13,10.97,7.17,5.51,11.66,7.17,rs
Rice,Still,3608,17.71,20.78,17.72,20.4,18.32,8.18,10.64,11.27,8.02,6.17,13.31,7.7,rs
Rice,Still,4606,20.46,24.93,19.48,22.62,21.56,10.39,12.96,11.02,8.06,6.49,13.93,8.37,rs
Rice,Still,3516,17.44,21.29,18.05,20.28,18.52,9.38,11.23,11.2,7.35,5.82,11.76,7.76,rs
Rice,Still,3476,17.39,22.07,16.72,19.94,17.88,8.59,11.88,11.09,7.54,5.69,10.55,7.56,rs
Rice,Still,2814,15.89,19.34,15.28,17.77,15.96,7.56,8.75,9.26,6.74,5.62,10.28,7.04,rs
Rice,Still,3420,17.56,21.25,16.6,19.52,18.25,8.88,9.73,10.75,7.34,6.17,13.69,7.75,rs
Rice,Still,3534,18.07,21.11,17.45,19.61,19,9.24,9.92,10.15,7.77,6.04,12.15,7.31,rs
Rice,Still,2940,16.8,19.9,16.39,18.08,16.5,8.08,9.38,10.14,6.89,5.29,10.39,6.86,rs
Rice,Still,3511,18.2,22.36,17.02,19.18,18.06,8.37,9.57,10,7.72,5.94,11.62,7.64,rs
Rice,Still,3624,18.08,21.64,17.68,20.19,19.03,8.85,11.24,11.31,7.5,6.21,12.64,8.04,rs
Rice,Still,3861,18.61,22.3,17.94,21.04,19.4,9.21,10,10.79,8.4,6.46,14.43,7.28,rs
Rice,Flow,3330,17.01,20.39,17.25,19.47,18.07,8.78,10.65,10.99,7.31,5.86,10.82,7.6,rf
Rice,Flow,3520,17.7,21,17.06,19.69,18.53,9.33,9.7,10.61,7.8,6.24,12.7,7.68,rf
Rice,Flow,3711,18.67,22.1,17.09,20.53,19.07,9.39,10.76,10.4,7.9,6.51,13.63,8.23,rf
Rice,Flow,3472,17.92,21.93,16.94,19.63,18.41,9.22,10.01,9.78,7.53,6.19,11.97,8.12,rf
Rice,Flow,2688,15.37,18.47,15.97,18.33,16.18,7.03,9.53,9.54,6.91,5.32,11.14,7.37,rf
Rice,Flow,3183,17.59,21.04,17.23,18.95,17.47,9.14,9.11,8.93,7.37,5.83,11.24,7.85,rf
Rice,Flow,3159,16.87,20.3,17.25,18.59,17.6,8.36,9.84,9.98,7.5,5.44,11.31,7.5,rf
Rice,Flow,3585,17.95,21.36,17.53,20.48,19.57,8.89,9.93,9.83,7.66,6.38,12.52,8.09,rf
Rice,Flow,2301,13.79,17.92,15.69,16.96,14.23,7.39,8.83,8.75,5.7,4.63,10.04,6.42,rf
Rice,Flow,3507,17.12,21.35,17.96,20.47,18.57,9,8.99,9.26,7.47,5.97,13.25,7.92,rf
Rice,Flow,2851,15.82,20.28,16.74,17.96,16.22,8.42,8.87,9.17,7.01,5.25,11.04,7.27,rf
Rice,Flow,2522,14.85,18.42,15.28,17.21,15.35,7.81,8.78,8.95,6.72,4.95,10.54,6.9,rf
Rice,Flow,3140,16.24,20.87,16.67,18.63,17.36,8.71,10.29,10.05,6.88,5.81,11.57,7.04,rf
Rice,Flow,2981,15.94,20.25,15.64,18.66,17.3,8.42,9.54,9.72,6.88,5.43,11.68,7.07,rf
Rice,Flow,3305,17.45,21.1,16.63,19.09,18.16,8.53,10.77,10.44,7.43,5.58,12.85,7.77,rf
Rice,Flow,3349,17.1,21.26,17.81,20,17.94,9.31,9.61,9.3,7.4,5.86,13.58,7.58,rf
Rice,Flow,3856,18.72,22.4,18.33,21.08,19.3,9.06,11.04,10.5,8.28,6,12.53,8.51,rf
Susqueda,Still,2716,15.43,18.68,15.11,16.42,16.56,7.56,9.79,9.27,6.77,5.14,7.45,6.31,ss
Susqueda,Still,2552,15.11,18.44,14.34,16.34,16.27,8.01,9.37,9.35,6.41,5.19,11.85,7.1,ss
Susqueda,Still,3118,16.78,19.83,15.54,17.89,18.31,9.83,9.75,9.83,6.99,5.17,11.02,7.6,ss
Susqueda,Still,3597,18.57,22.02,16.23,19.61,19.23,9.23,10.33,10.33,7.96,5.76,12.6,8.41,ss
Susqueda,Still,3006,15.92,19.49,15.79,18.27,17.94,8.41,8.85,10.13,7.05,5.49,11.01,7.65,ss
Susqueda,Still,2790,15.7,18.89,14.92,17.76,17.23,8.69,7.98,9.04,6.88,5.43,11.83,7.14,ss
Susqueda,Still,2489,14.68,18.01,14.27,16.26,16.54,7.49,8.19,8.81,5.94,5.09,9.68,6.94,ss
Susqueda,Still,2715,15.75,18.82,14.41,16.61,17.2,8.33,8.97,9.06,6.73,5.82,11.18,7.33,ss
Susqueda,Still,3220,17.18,21.04,15.7,18.26,18.47,9.95,8.64,9.62,7.26,5.36,11.4,8.24,ss
Susqueda,Still,3275,17.07,20.89,16.03,18.75,18.27,8.87,10.27,9.71,7.58,5.8,10.6,7.91,ss
Susqueda,Still,2894,16.5,19.11,14.6,17.49,17.43,8.36,8.31,9.34,7.02,5.61,10.76,7.23,ss
Susqueda,Still,2432,14.69,17.75,13.85,15.86,15.78,6.92,7.07,9.85,6.42,4.79,9.16,6.82,ss
Susqueda,Still,2686,15.54,19.17,13.91,16.29,16.24,8.09,10.17,9.19,6.72,5.19,9.62,7.3,ss
Susqueda,Still,3185,16.51,19.46,16.12,18.24,18.49,8.93,10.02,10,7.47,5.76,11.86,7.66,ss
Susqueda,Still,2459,15,18.63,13.91,15.39,15.55,8.08,9.33,8.56,6.29,4.73,10.46,6.77,ss
Susqueda,Still,2289,14.29,17.24,13.38,15.3,14.72,7.34,7.43,9.09,6.08,5.13,11.01,6.9,ss
Susqueda,Flow,2800,15.43,18.66,14.81,17.33,17.27,8.68,8.6,8.71,7.1,5.27,10.96,7.22,sf
Susqueda,Flow,3223,16.72,20.58,16.54,19.28,17.86,8.9,9.12,9.3,7.58,5.86,10.99,7.51,sf
Susqueda,Flow,2102,12.8,17.12,12.54,15.43,14.67,6.77,8.29,8.28,5.71,4.39,9.95,6.28,sf
Susqueda,Flow,2364,13.83,17.77,13.76,16.79,15.75,7.58,8.51,9.16,6.04,4.9,9.81,6.48,sf
Susqueda,Flow,2864,15.33,19.67,16.37,19.11,17.07,8,9.27,9.09,6.72,5.41,10.82,7.23,sf
Susqueda,Flow,2077,13.01,16.63,14.2,15.12,14.98,6.64,7.81,8.48,5.46,4.52,8.42,5.81,sf
Susqueda,Flow,2530,14.5,19.04,14.47,16.91,15.9,7.63,8.87,8.76,6.41,5.06,7.49,6.58,sf
Susqueda,Flow,2636,14.67,18.81,14.89,17.52,16.02,8.39,9.09,8.86,6.64,5.21,9.45,7.1,sf
Susqueda,Flow,2809,15.71,19.08,14.59,17.36,17.71,8.41,8.66,9.16,6.78,5.5,10.94,7.23,sf
Susqueda,Flow,2258,13.62,17.07,14.82,16.14,15.59,7.32,7.32,7.65,5.86,4.78,10.16,6.61,sf
Susqueda,Flow,2703,14.97,18.92,14.44,16.7,16.8,8.45,8.72,8.96,6.53,5.11,9.58,7.59,sf
Susqueda,Flow,2095,12.66,17.07,13.32,14.85,14.79,6.83,8.12,8.67,5.88,4.68,9.77,5.83,sf
Susqueda,Flow,1858,11.61,16.1,13.33,14.83,13.61,6.21,7.9,7.83,5.27,4.58,7.54,5.71,sf
Susqueda,Flow,2605,14.51,18.9,15.75,16.8,15.66,8.11,8.69,8.51,6.41,5.01,10.34,7.03,sf
Ter,Still,2829,15.65,19.11,15.41,17.85,17.16,8.2,9.11,8.3,7.11,5.55,11.67,7.35,ts
Ter,Still,2856,15.47,18.87,15.27,17.83,17.63,7.92,8.28,8.73,6.67,5.33,10.69,7.61,ts
Ter,Still,2849,15.44,19.12,15.59,17.72,17.38,8.23,7.48,8.74,6.91,5.7,11.88,7.37,ts
Ter,Still,2969,15.97,19.79,16.08,18.41,17.05,8.54,9.48,9.49,7.15,5.65,10.72,7.28,ts
Ter,Still,2799,15.34,19.49,15.22,17.7,17.24,8,8.53,8.61,6.49,5.44,9.62,6.96,ts
Ter,Still,3002,15.92,20.74,15.66,17.93,18.16,8.66,9.27,8.71,6.8,5.55,12.3,7.3,ts
Ter,Still,2724,15.59,18.78,15.31,17.58,17.17,7.4,7.93,8.7,6.8,5.27,9.33,7.39,ts
Ter,Still,2908,15.6,19.12,15.7,17.68,17.51,8.01,8.44,9.45,7.08,5.34,10.4,7.06,ts
Ter,Still,2801,15.47,19.33,15.82,17.15,16.95,8.11,8.98,8.77,6.88,5.66,11.77,7.23,ts
Ter,Still,2196,13.64,16.86,13.68,16.06,15.13,6.83,7.19,8.08,6.01,4.86,9.42,6.52,ts
Ter,Still,2809,14.72,18.64,15.22,17.21,17.4,8.54,7.92,8.48,6.67,5.55,11.21,6.89,ts
Ter,Still,2204,14.04,16.95,13.48,15.06,14.97,7.11,7.96,8.49,6.19,4.79,9.2,6.35,ts
Ter,Still,2830,15.42,18.56,14.88,17.23,17.67,8.34,9.52,9.08,6.72,5.32,10.51,7.36,ts
Ter,Still,3012,15.94,19.02,14.87,18.03,18.17,8.69,8.84,9.6,7.1,5.4,11.25,7.84,ts
Ter,Still,2633,15.05,18.64,14.34,16.93,16.6,7.46,7.83,8.42,6.57,5.06,11.24,7.1,ts
Ter,Still,2376,14.36,17.41,13.75,16.46,15.72,7.19,8,8.31,6.36,4.85,10.33,6.67,ts
Ter,Still,2221,13.1,17.46,13.98,15.5,14.9,7.02,8.26,8.3,6.08,4.73,10.19,6.36,ts
Ter,Flow,3056,16.09,19.46,15.78,17.91,17.35,8.39,9.73,9.83,7.37,5.17,10.79,7.22,tf
Ter,Flow,2609,15.08,18.62,14.34,16.66,16.44,7.95,7.87,7.67,6.61,5.16,10.54,7.33,tf
Ter,Flow,2167,12.94,16.82,13.76,15.2,15.08,6.92,8.45,8.53,5.78,4.47,9.23,6.37,tf
Ter,Flow,2739,15.14,18.9,15.64,17.35,16.36,7.54,8.52,9.08,6.83,5.28,9.95,6.98,tf
Ter,Flow,2331,13.62,17.55,13.98,16.08,15.56,7.24,8.44,9.19,5.92,4.84,8.61,6.22,tf
Ter,Flow,2586,14.72,18.08,14.49,16.67,16.58,7.72,7.92,8.52,6.89,5.11,10.19,7.02,tf
Ter,Flow,2404,14.08,17.21,14.39,16.26,15.58,7.25,8.21,8.36,6.41,5.06,9.9,6.47,tf
Ter,Flow,2435,14.41,18.27,14.11,16.1,15.97,7.28,8.31,7.8,6.56,5.22,11.13,6.8,tf
Ter,Flow,3016,16.19,19.19,15.26,18.23,18.2,8.34,9.53,8.04,7.42,5.66,10.77,7.45,tf
Ter,Flow,2685,14.89,18.36,14.43,17.36,16.86,7.29,8.57,8.72,6.83,5.22,9.87,6.94,tf
Ter,Flow,1579,10.88,14.15,11.26,13.3,13.06,6.29,7.13,7.69,5.16,4.17,8.94,5.07,tf
Ter,Flow,2326,13.79,17.15,13.99,15.72,16.17,7.35,7.54,7.95,6.18,4.7,10.63,6.32,tf
Ter,Flow,1851,12.26,15.22,12.2,14.36,14.14,6.45,7.89,7.98,5.65,4.06,9.37,5.51,tf
Ter,Flow,2027,12.81,16.06,13.23,15.07,14.53,6.57,8.12,8.24,5.81,4.57,7.57,5.79,tf
Ter,Flow,2148,13.72,16.61,13.47,15.14,14.93,6.76,7.31,7.85,6.19,4.57,9.09,6.35,tf
